iter	Passed	Remaining
409	3900	91236
410	3909	91210
411	3918	91182
412	3927	91170
413	3936	91149
414	3944	91113
415	3953	91093
416	3963	91095
417	3973	91079
418	3982	91055
419	3991	91034
420	3999	91002
421	4008	90980
422	4016	90946
423	4025	90915
424	4034	90884
425	4043	90872
426	4051	90837
427	4060	90817
428	4068	90766
429	4077	90744
430	4086	90722
431	4095	90699
432	4103	90665
433	4113	90658
434	4121	90628
435	4130	90599
436	4138	90569
437	4146	90532
438	4156	90515
439	4164	90476
440	4172	90447
441	4181	90425
442	4189	90388
443	4197	90345
444	4206	90312
445	4214	90281
446	4223	90251
447	4230	90201
448	4238	90169
449	4247	90134
450	4255	90101
451	4263	90071
452	4271	90030
453	4280	90013
454	4289	89980
455	4298	89969
456	4307	89950
457	4315	89916
458	4325	89910
459	4333	89877
460	4342	89847
461	4351	89826
462	4359	89804
463	4369	89794
464	4377	89763
465	4386	89742
466	4394	89710
467	4403	89697
468	4412	89669
469	4421	89653
470	4430	89636
471	4439	89621
472	4449	89619
473	4459	89620
474	4468	89612
475	4478	89599
476	4486	89576
477	4494	89541
478	4503	89518
479	4511	89483
480	4520	89452
481	4529	89437
482	4537	89411
483	4546	89380
484	4555	89377
485	4564	89355
486	4573	89346
487	4582	89318
488	4591	89310
489	4600	89295
490	4610	89293
491	4619	89276
492	4629	89273
493	4638	89265
494	4648	89254
495	4657	89243
496	4666	89230
497	4676	89230
498	4686	89222
499	4695	89223
500	4704	89206
501	4714	89197
502	4722	89169
503	4731	89155
504	4742	89166
505	4751	89145
506	4761	89145
507	4769	89118
508	4779	89113
509	4788	89098
510	4798	89113
511	4808	89106
512	4817	89085
513	4825	89063
514	4833	89028
515	4843	89019
516	4852	89001
517	4860	88974
518	4869	88961
519	4878	88932
520	4886	88902
521	4894	88874
522	4904	88868
523	4913	88853
524	4923	88856
525	4932	88839
526	4942	88835
527	4952	88847
528	4961	88830
529	4971	88822
530	4979	88802
531	4988	88779
532	4997	88760
533	5006	88742
534	5014	88715
535	5023	88692
536	5032	88678
537	5040	88648
538	5048	88618
539	5057	88591
540	5065	88572
541	5074	88549
542	5083	88528
543	5091	88494
544	5099	88464
545	5108	88459
546	5117	88433
547	5126	88421
548	5134	88389
549	5143	88369
550	5151	88340
551	5160	88332
552	5169	88318
553	5177	88286
554	5186	88265
555	5194	88234
556	5202	88205
557	5211	88186
558	5220	88170
559	5229	88157
560	5238	88131
561	5247	88121
562	5255	88093
563	5265	88095
564	5275	88089
565	5285	88096
566	5294	88089
567	5305	88093
568	5315	88101
569	5325	88097
570	5335	88103
571	5344	88094
572	5354	88092
573	5365	88107
574	5374	88092
575	5383	88085
576	5392	88061
577	5403	88085
578	5414	88103
579	5424	88100
580	5434	88102
581	5443	88091
582	5454	88097
583	5463	88090
584	5472	88068
585	5480	88050
586	5489	88032
587	5498	88010
588	5507	87998
589	5516	87983
590	5525	87961
591	5534	87950
592	5543	87941
593	5552	87919
594	5562	87918
595	5570	87900
596	5580	87896
597	5590	87892
598	5599	87883
599	5608	87867
600	5617	87844
601	5626	87831
602	5636	87830
603	5645	87826
604	5654	87812
605	5664	87816
606	5675	87818
607	5684	87810
608	5694	87813
609	5704	87813
610	5713	87804
611	5724	87811
612	5733	87799
613	5741	87775
614	5749	87744
615	5758	87719
616	5766	87695
617	5776	87696
618	5784	87672
619	5794	87659
620	5803	87654
621	5812	87630
622	5820	87607
623	5829	87589
624	5837	87568
625	5845	87536
626	5855	87529
627	5864	87513
628	5874	87513
629	5882	87495
630	5893	87502
631	5903	87507
632	5911	87481
633	5920	87466
634	5929	87452
635	5938	87440
636	5947	87420
637	5957	87417
638	5966	87407
639	5976	87400
640	5985	87393
